case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,normal,-,-
1,1,Activity A,,Sherlene,normal,-,-
1,2,Activity B,,Earl,normal,-,-
1,3,Activity C,,Brant,normal,-,-
1,4,Activity D,,Lourdes,normal,-,-
1,5,Activity E,,Hugo,normal,-,-
1,6,Activity G,,Lourdes,normal,-,-
1,7,Activity H,,Hoyt,normal,-,-
1,8,Activity I,,Jack,normal,-,-
1,9,Activity J,,Sonia,normal,-,-
1,10,Activity F,,Howard,normal,-,-
1,11,■,,■,normal,-,-
2,0,▶,,▶,anomalous,Insert,"{'indices': [0, 5]}"
2,1,Random activity 18,,Random user 58,anomalous,Insert,"{'indices': [0, 5]}"
2,2,Activity A,,Sherlene,anomalous,Insert,"{'indices': [0, 5]}"
2,3,Activity B,,Doretta,anomalous,Insert,"{'indices': [0, 5]}"
2,4,Activity C,,Brant,anomalous,Insert,"{'indices': [0, 5]}"
2,5,Activity D,,Lourdes,anomalous,Insert,"{'indices': [0, 5]}"
2,6,Random activity 11,,Random user 17,anomalous,Insert,"{'indices': [0, 5]}"
2,7,Activity E,,Paul,anomalous,Insert,"{'indices': [0, 5]}"
2,8,Activity T,,Ryan,anomalous,Insert,"{'indices': [0, 5]}"
2,9,Activity F,,Lisa,anomalous,Insert,"{'indices': [0, 5]}"
2,10,■,,■,anomalous,Insert,"{'indices': [0, 5]}"
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Sherlene,normal,-,-
3,2,Activity B,,Earl,normal,-,-
3,3,Activity C,,Brant,normal,-,-
3,4,Activity D,,Lourdes,normal,-,-
3,5,Activity E,,Tiffiny,normal,-,-
3,6,Activity K,,Melany,normal,-,-
3,7,Activity O,,Melany,normal,-,-
3,8,Activity P,,Jimmy,normal,-,-
3,9,Activity L,,Amanda,normal,-,-
3,10,Activity F,,Emily,normal,-,-
3,11,■,,■,normal,-,-
4,0,▶,,▶,normal,-,-
4,1,Activity A,,Sherlene,normal,-,-
4,2,Activity B,,Doretta,normal,-,-
4,3,Activity C,,James,normal,-,-
4,4,Activity D,,Lourdes,normal,-,-
4,5,Activity E,,Tiffiny,normal,-,-
4,6,Activity K,,Pam,normal,-,-
