case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,normal,-,-
1,1,Activity A,,Sherlene,normal,-,-
1,2,Activity AG,,Rossie,normal,-,-
1,3,Activity O,,Maryellen,normal,-,-
1,4,Activity Q,,Jin,normal,-,-
1,5,Activity R,,Jack,normal,-,-
1,6,Activity P,,Steve,normal,-,-
1,7,Activity B,,Vickie,normal,-,-
1,8,■,,■,normal,-,-
2,0,▶,,▶,normal,-,-
2,1,Activity A,,Sherlene,normal,-,-
2,2,Activity AG,,Rossie,normal,-,-
2,3,Activity O,,Alyce,normal,-,-
2,4,Activity S,,Alpha,normal,-,-
2,5,Activity T,,Earl,normal,-,-
2,6,Activity P,,Grayce,normal,-,-
2,7,Activity B,,Vickie,normal,-,-
2,8,■,,■,normal,-,-
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Sherlene,normal,-,-
3,2,Activity AG,,Sonia,normal,-,-
3,3,Activity O,,Jack,normal,-,-
3,4,Activity S,,Issac,normal,-,-
3,5,Activity T,,Earl,normal,-,-
3,6,Activity P,,Steve,normal,-,-
3,7,Activity B,,Vickie,normal,-,-
3,8,■,,■,normal,-,-
4,0,▶,,▶,anomalous,Attribute,"{'index': [5], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Sandra']}"
4,1,Activity A,,Sherlene,anomalous,Attribute,"{'index': [5], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Sandra']}"
4,2,Activity AG,,Brant,anomalous,Attribute,"{'index': [5], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Sandra']}"
4,3,Activity Z,,Keven,anomalous,Attribute,"{'index': [5], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Sandra']}"
4,4,Activity AA,,Ling,anomalous,Attribute,"{'index': [5], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Sandra']}"
4,5,Activity AC,,Rossana,anomalous,Attribute,"{'index': [5], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Sandra']}"
4,6,Activity AB,,Marilyn,anomalous,Attribute,"{'index': [5], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Sandra']}"
