case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,normal,-,-
1,1,Activity A,,Sherlene,normal,-,-
1,2,Activity B,,Earl,normal,-,-
1,3,Activity C,,Brant,normal,-,-
1,4,Activity E,,Lourdes,normal,-,-
1,5,Activity D,,Hugo,normal,-,-
1,6,Activity G,,Lourdes,normal,-,-
1,7,Activity H,,Hoyt,normal,-,-
1,8,Activity I,,Jack,normal,-,-
1,9,Activity J,,Sonia,normal,-,-
1,10,Activity F,,Howard,normal,-,-
1,11,■,,■,normal,-,-
2,0,▶,,▶,normal,-,-
2,1,Activity A,,Sherlene,normal,-,-
2,2,Activity B,,Doretta,normal,-,-
2,3,Activity C,,Brant,normal,-,-
2,4,Activity E,,Lourdes,normal,-,-
2,5,Activity D,,Paul,normal,-,-
2,6,Activity T,,Ryan,normal,-,-
2,7,Activity F,,Lisa,normal,-,-
2,8,■,,■,normal,-,-
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Sherlene,normal,-,-
3,2,Activity B,,Earl,normal,-,-
3,3,Activity C,,Brant,normal,-,-
3,4,Activity E,,Lourdes,normal,-,-
3,5,Activity D,,Tiffiny,normal,-,-
3,6,Activity K,,Melany,normal,-,-
3,7,Activity O,,Melany,normal,-,-
3,8,Activity P,,Jimmy,normal,-,-
3,9,Activity L,,Amanda,normal,-,-
3,10,Activity F,,Emily,normal,-,-
3,11,■,,■,normal,-,-
4,0,▶,,▶,normal,-,-
4,1,Activity A,,Sherlene,normal,-,-
4,2,Activity B,,Doretta,normal,-,-
4,3,Activity C,,James,normal,-,-
4,4,Activity E,,Lourdes,normal,-,-
4,5,Activity D,,Tiffiny,normal,-,-
4,6,Activity K,,Pam,normal,-,-
4,7,Activity M,,Issac,normal,-,-
4,8,Activity N,,Sonia,normal,-,-
4,9,Activity L,,Keven,normal,-,-
4,10,Activity F,,Howard,normal,-,-
4,11,■,,■,normal,-,-
5,0,▶,,▶,normal,-,-
5,1,Activity A,,Sherlene,normal,-,-
5,2,Activity B,,Doretta,normal,-,-
5,3,Activity C,,James,normal,-,-
5,4,Activity E,,Lourdes,normal,-,-
5,5,Activity D,,Gema,normal,-,-
